"samplingpoint" "Tissue" "avgRWC" "sdRWC"
"1" "SamplingPoint1" "NST" 100 0
"2" "SamplingPoint1" "ST" 77.3676908909045 6.07963765274277
"3" "SamplingPoint2" "NST" 75.0870701932134 9.31300353282174
"4" "SamplingPoint2" "ST" 61.9260343631257 6.73832160039936
"5" "SamplingPoint3" "NST" 53.9050381131694 7.44429465487342
"6" "SamplingPoint3" "ST" 44.202242228809 7.85947128047699
"7" "SamplingPoint4" "NST" 34.7334430740816 5.37275502300853
"8" "SamplingPoint4" "ST" 23.8012818370216 2.60129438958956
"9" "SamplingPoint5" "NST" 4.98817951936267 2.67266203116059
"10" "SamplingPoint5" "ST" 4.41128848761528 2.41109517838694
"11" "SamplingPoint6" "NST" 82.0255105911782 24.2558738745833
"12" "SamplingPoint6" "ST" 12.6353538420153 3.93541069817463
